,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nome,40,US,1570147232,78,30.04,-94.42,87.8,3.36
1,chuy,60,UY,1570147232,81,-33.69,-53.46,57.79,9.6
2,bluff,0,AU,1570147232,39,-23.58,149.07,72.61,8.01
3,nokha,20,IN,1570147232,63,27.56,73.47,81.61,12.21
4,abu samrah,75,JP,1570147233,78,34.51,131.49,82.99,5.82
5,tuktoyaktuk,90,CA,1570147233,100,69.44,-133.03,35.6,6.93
6,hithadhoo,99,MV,1570147233,78,-0.6,73.08,82.21,15.05
7,kalianget,71,ID,1570147233,65,-7.74,113.68,72.0,4.18
8,bredasdorp,18,ZA,1570147147,76,-34.53,20.04,60.01,5.82
9,busselton,94,AU,1570147140,58,-33.64,115.35,60.01,23.76
10,ushuaia,75,AR,1570147150,52,-54.81,-68.31,46.4,17.22
11,waipawa,0,NZ,1570147234,50,-39.94,176.59,59.0,3.0
12,kapaa,40,US,1570147137,62,22.08,-159.32,87.8,16.11
13,port elizabeth,52,CD,1570147234,66,-7.04,29.76,68.64,4.18
14,upernavik,100,GL,1570147234,74,72.79,-56.15,38.07,8.95
15,yulara,0,AU,1570147234,12,-25.24,130.99,82.4,4.7
16,port alfred,52,CD,1570147234,66,-7.04,29.76,68.64,4.18
17,lamar,1,US,1570147235,36,38.09,-102.62,64.4,11.41
18,mount isa,75,GB,1570147235,100,53.66,-1.85,52.0,11.41
19,igrim,0,RU,1570147235,81,63.19,64.42,33.95,10.58
20,esperance,90,AU,1570147168,87,-33.86,121.89,55.4,17.22
21,mataura,79,NZ,1570147235,62,-46.19,168.86,60.01,11.99
22,rikitea,89,PF,1570147086,79,-23.12,-134.97,69.43,22.5
23,new norfolk,75,LR,1570146985,94,6.65,-10.59,77.0,6.35
24,padang,35,ID,1570147236,84,-0.92,100.36,77.66,10.04
25,grand gaube,0,FR,1570147236,87,48.39,5.49,46.4,6.93
26,puerto ayora,0,AR,1570147236,49,-51.62,-69.23,46.4,11.41
27,iqaluit,75,CA,1570147163,86,63.75,-68.52,33.8,18.34
28,albany,90,US,1570147172,87,42.65,-73.75,50.0,4.7
29,carnarvon,0,ZA,1570147089,37,-30.97,22.13,49.9,9.62
30,buala,100,SB,1570147237,84,-8.15,159.59,79.56,10.45
31,hermanus,51,ZA,1570147237,83,-34.42,19.24,60.01,4.0
32,labelle,75,US,1570146977,69,26.76,-81.44,87.8,9.17
33,victoria,75,BN,1570147145,94,5.28,115.24,77.0,2.24
34,narsaq,100,GL,1570147238,29,60.91,-46.05,50.0,21.92
35,nikolskoye,90,RU,1570147238,86,59.7,30.79,39.2,6.71
36,saint-philippe,90,CA,1570147238,75,45.36,-73.48,48.99,9.17
37,punta arenas,40,PH,1570147238,78,14.18,121.12,84.0,2.24
38,talnakh,75,RU,1570147238,86,69.49,88.39,39.2,17.9
39,airai,0,TL,1570147086,34,-8.93,125.41,84.26,1.79
40,beringovskiy,40,RU,1570147239,67,63.05,179.32,29.18,15.95
41,college,90,US,1570147239,100,64.86,-147.8,41.0,3.36
42,meulaboh,92,ID,1570147239,78,4.14,96.13,80.56,6.96
43,belyy yar,100,RU,1570147239,95,55.83,32.94,44.75,7.61
44,mahajanga,20,MG,1570147240,74,-15.72,46.32,78.8,4.7
45,atuona,0,PF,1570147084,76,-9.8,-139.03,80.19,16.37
46,kungurtug,0,RU,1570147240,68,50.6,97.53,22.46,2.88
47,zhigansk,20,RU,1570147240,79,66.77,123.37,22.54,7.47
