tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Month,Day
121,2018-10-02 21:25:51.501,2018-10-02 21:27:52.783,3211,Newark Ave,40.72152515,-74.046304543,3213,Van Vorst Park,40.71848892,-74.047726625,33593,Subscriber,1986,1,10,2
288,2018-10-02 08:03:12.636,2018-10-02 08:08:01.088,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3273,Manila & 1st,40.72165072487999,-74.04288411140442,26202,Subscriber,1988,1,10,2
725,2018-09-07 16:20:20.515,2018-09-07 16:32:25.864,3211,Newark Ave,40.72152515,-74.046304543,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,26209,Subscriber,1988,2,9,7
266,2018-06-27 08:31:20.011,2018-06-27 08:35:46.102,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,29524,Subscriber,1980,1,6,27
254,2018-03-03 09:33:54.675,2018-03-03 09:38:08.948,3481,York St,40.71649,-74.04105,3187,Warren St,40.721123600000006,-74.03805095,31811,Subscriber,1988,1,3,3
195,2018-10-30 19:59:12.822,2018-10-30 20:02:28.506,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3267,Morris Canal,40.7124188237569,-74.03852552175522,29505,Subscriber,1990,1,10,30
191,2018-04-14 14:35:29.866,2018-04-14 14:38:41.240,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.7124188237569,-74.03852552175522,29288,Subscriber,1981,0,4,14
380,2018-09-18 08:29:50.914,2018-09-18 08:36:11.566,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3185,City Hall,40.717732500000004,-74.04384499999999,26164,Subscriber,1992,1,9,18
497,2018-08-21 20:02:49.933,2018-08-21 20:11:07.522,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,33589,Subscriber,1969,0,8,21
439,2018-08-08 14:05:42.092,2018-08-08 14:13:01.176,3202,Newport PATH,40.7272235,-74.03375890000001,3184,Paulus Hook,40.7141454,-74.0335519,29636,Subscriber,1971,1,8,8
304,2018-01-22 17:26:22.371,2018-01-22 17:31:26.533,3638,Washington St,40.7242941,-74.0354826,3183,Exchange Place,40.7162469,-74.0334588,31689,Subscriber,1989,1,1,22
256,2018-05-23 20:17:17.654,2018-05-23 20:21:33.832,3194,McGinley Square,40.7253399253558,-74.06762212514876,3193,Lincoln Park,40.7246050998869,-74.07840594649316,33590,Subscriber,1989,1,5,23
114,2018-08-23 13:52:21.507,2018-08-23 13:54:15.600,3681,Grand St,40.71517767732029,-74.03768330812454,3184,Paulus Hook,40.7141454,-74.0335519,29643,Subscriber,1985,1,8,23
395,2018-02-02 10:22:42.384,2018-02-02 10:29:17.950,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,31873,Subscriber,1979,2,2,2
318,2018-06-18 18:15:02.377,2018-06-18 18:20:21.287,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.7124188237569,-74.03852552175522,29547,Subscriber,1990,1,6,18
1513,2018-06-19 13:22:03.131,2018-06-19 13:47:16.457,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,29575,Subscriber,1970,1,6,19
